Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
The Last Days on Mars,2013,females,5.5,99,81,207,499,800,759,384,192,111,137,5.5,7.0,5.3,5.5,5.5,3269,1,375,1943,780
Friday the 13th,2009,females,5.5,1177,520,1069,1821,2536,2250,1332,810,502,718,5.5,4.8,5.6,5.5,5.5,12735,11,3664,7027,1404
Red Riding Hood,2011,females,5.8,3818,2035,4024,6243,7691,6281,3522,1946,1179,1116,5.8,4.0,6.1,5.6,5.8,37855,3,13442,19385,3026
Winchester,2018,females,5.7,370,231,617,1189,1574,1375,689,331,180,157,5.7,4.5,5.6,5.6,6.0,6713,4,1524,3254,1298
Unfriended,2014,females,5.5,619,341,950,1937,2626,2228,1270,811,540,756,5.5,4.6,5.5,5.5,5.3,12078,12,4768,5254,1051
Resident Evil: The Final Chapter,2016,females,6.0,852,393,836,1477,1827,1241,580,315,214,269,6.0,4.9,6.2,5.9,6.1,8004,7,2069,4181,908
The Cloverfield Paradox,2018,females,5.7,309,267,779,1545,1978,1485,831,488,242,299,5.7,5.2,5.7,5.7,6.0,8223,5,1808,4314,1248
Vampire Academy,2014,nder_18,7.4,3,1,1,1,1,0,0,1,0,0,6.0,7.4,6.2,5.8,5.8,8,10135,9188,1259,272
The Omen,2006,females,5.6,729,349,767,1529,2354,1946,999,522,284,395,5.6,6.0,5.7,5.6,5.8,9874,5,1800,6307,1448
Peninsula,2020,females,5.6,121,73,203,427,523,447,226,126,79,93,5.6,5.0,5.7,5.5,5.9,2318,10,652,1061,327
The Dead Don't Die,2019,females,5.6,409,309,827,1524,1726,1511,829,517,421,495,5.6,4.2,5.6,5.6,5.7,8568,8,1851,4505,1381
Children of the Corn,1984,females,5.8,631,273,694,1318,1823,1453,757,369,204,210,5.8,7.0,5.7,5.8,5.9,7732,2,1461,4373,1507
The Texas Chainsaw Massacre 2,1986,females,5.4,234,106,201,271,384,379,235,143,112,189,5.4,6.0,5.2,5.4,5.4,2254,1,371,1262,509
Urban Legend,1998,females,5.9,878,472,1116,1977,2751,2188,1038,456,259,255,5.9,4.4,6.0,5.8,5.9,11390,5,1631,7855,1416
Scream 3,2000,females,5.8,1704,699,1605,2848,4044,3566,1643,813,455,477,5.8,6.6,6.1,5.7,6.0,17854,12,3685,11276,1992
Thir13en Ghosts,2001,females,6.1,1542,879,1786,2678,2997,2252,1202,647,435,460,6.1,4.0,6.1,6.0,6.4,14878,2,2480,9644,1985
Cabin Fever,2002,females,5.6,808,428,979,1615,1959,1688,999,574,544,851,5.6,1.0,5.6,5.6,5.7,10445,1,1632,6816,1565
Alien vs. Predator,2004,females,6.0,1006,578,1353,2281,2618,2008,943,584,388,512,6.0,6.1,6.1,5.8,6.2,12271,6,1892,7305,2457
Dark Water,2005,females,5.6,611,440,1019,1711,2655,2339,1147,591,323,364,5.6,7.0,5.8,5.5,5.8,11200,1,1958,7033,1782
Halloween Kills,2021,females,5.6,525,205,467,674,834,719,436,300,220,354,5.6,5.5,5.4,5.6,5.7,4734,10,1024,2281,884
Diary of the Dead,2007,females,5.5,282,154,330,592,797,652,419,244,182,245,5.5,4.0,5.5,5.4,5.7,3897,2,474,2634,687
Saw: The Final Chapter,2010,females,5.9,1418,564,1031,1507,2053,1573,807,502,362,584,5.9,5.1,6.1,5.8,6.0,10401,12,3387,5601,829
House at the End of the Street,2012,females,5.9,1487,800,1983,3474,4536,3554,1621,780,421,427,5.9,6.0,6.1,5.7,5.8,19083,2,6118,9501,1933
Freddy vs. Jason,2003,females,5.6,1218,490,1125,1628,2216,1901,1138,668,476,559,5.6,4.9,5.8,5.5,5.7,11419,5,2291,7145,1432
Priest,2011,females,6.0,1662,978,1914,2892,3247,2486,1286,685,381,372,6.0,3.0,6.2,5.9,6.3,15903,1,3207,9477,2504
Maggie,2015,females,5.5,225,148,383,698,1056,886,502,291,175,201,5.5,7.0,5.3,5.5,5.8,4565,1,705,2585,934
Pet Sematary,2019,females,5.7,391,290,918,2092,3023,2357,1159,572,364,420,5.7,6.2,5.7,5.7,5.8,11586,15,3297,5607,1419
The Rental,2020,females,5.6,88,64,247,573,927,717,370,173,129,132,5.6,7.7,5.4,5.6,5.6,3420,4,783,1744,595
Army of the Dead,2021,females,5.7,422,289,820,1658,2093,1645,918,586,452,564,5.7,5.5,5.6,5.7,5.8,9447,12,2005,4978,1405
Would You Rather,2012,females,5.9,494,352,880,1550,2019,1422,747,397,222,255,5.9,4.8,5.9,5.8,5.9,8338,5,2963,3952,788
I Spit on Your Grave 2,2013,females,5.8,436,157,393,593,869,635,330,177,104,192,5.8,7.0,5.8,5.8,5.8,3886,1,1237,1963,405
Splice,2009,females,5.6,581,497,1343,2523,3014,2304,1427,890,585,951,5.6,5.7,5.5,5.6,5.9,14115,5,3009,8655,1878
Paranormal Activity 2,2010,females,5.7,1168,757,1611,2678,3389,2653,1406,866,659,916,5.7,5.9,5.6,5.7,5.9,16103,8,4834,9084,1426
47 Meters Down,2017,females,5.9,481,317,863,1621,2184,1549,744,376,207,256,5.9,5.5,5.9,5.9,5.8,8598,6,2443,4088,1097
Regression,2015,females,5.6,208,160,397,1121,1867,1514,663,322,181,152,5.6,4.3,5.7,5.5,5.5,6585,3,1585,3591,880
