Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
Trick 'r Treat,2007,males,6.8,5746,4975,10893,14843,9868,5036,2475,1447,879,1217,6.8,7.1,6.8,6.8,6.7,57379,33,9522,36832,8755
1408,2007,males,6.8,12061,13024,33757,54244,35159,14748,6142,2869,1488,1815,6.8,7.3,6.9,6.8,6.6,175307,33,28392,116179,24145
Warm Bodies,2013,males,6.8,8578,8333,24174,40560,23606,9427,3964,2016,1180,2024,6.8,6.6,6.9,6.7,6.7,123862,27,28204,71621,15752
Eden Lake,2008,males,6.8,3262,4114,11512,16780,9520,4031,1849,1202,807,1650,6.8,6.9,6.8,6.8,6.7,54727,15,8239,34967,9268
Stonehearst Asylum,2014,males,6.8,1807,2042,6097,11433,7267,2590,900,369,162,251,6.8,7.3,7.1,6.7,6.6,32918,3,5234,19403,6403
Insidious,2010,males,6.8,13587,14096,34530,51958,31495,13848,6054,3081,1801,2448,6.8,7.2,6.9,6.8,6.6,172898,103,45109,96101,19765
Odd Thomas,2013,males,6.8,2667,2578,6514,9938,5998,2588,1175,561,336,375,6.8,8.0,6.9,6.7,6.8,32730,3,3395,18604,8630
Sinister,2012,males,6.8,8506,9652,26540,43401,28017,11654,4616,2212,1182,1586,6.8,7.1,6.9,6.7,6.6,137366,79,35495,74764,16614
The Babadook,2014,males,6.8,6746,10836,25377,33065,22231,11169,5320,2944,1776,2797,6.8,6.9,7.0,6.7,6.7,122261,65,31183,65903,15763
Annihilation,2018,males,6.8,8101,15195,38337,50874,33700,15434,7040,4039,2471,3378,6.8,6.7,7.2,6.8,6.5,178569,86,39669,95798,26379
The Autopsy of Jane Doe,2016,males,6.8,2653,3560,11654,21563,13510,4940,1818,811,369,446,6.8,7.2,6.8,6.8,6.7,61324,37,12873,33331,10052
Housebound,2014,males,6.7,1081,1335,4229,6796,4390,1813,791,387,226,332,6.7,6.3,6.8,6.7,6.8,21380,5,3255,13023,4060
It Follows,2014,males,6.9,7431,12110,30287,38110,22595,10718,5366,3100,2024,3490,6.9,7.1,7.0,6.9,6.7,135231,71,33297,74301,17557
Shin Godzilla,2016,males,6.8,1227,1454,3431,4596,2992,1419,690,393,257,444,6.8,7.7,7.1,6.7,6.4,16903,13,3568,8784,3058
I See You,2019,males,6.8,883,1305,4535,8292,4933,1697,744,327,185,294,6.8,6.8,6.9,6.7,6.7,23195,16,3726,12463,5018
The House That Jack Built,2018,males,6.8,2634,3900,8508,10253,6331,3339,1751,933,700,1274,6.8,7.6,7.2,6.7,6.4,39623,35,9600,20678,6035
Us,2019,males,6.8,6529,10811,29086,37519,24178,11421,5723,3542,2439,4963,6.8,7.1,7.1,6.7,6.4,136211,178,36576,68414,16981
Altered States,1980,males,6.9,1529,1957,5080,7093,4311,1853,807,439,208,296,6.9,8.5,7.1,6.9,6.9,23573,2,2125,12071,8626
The Witches,1990,males,6.8,1839,1463,4453,8536,5584,2035,719,334,176,224,6.8,6.9,6.7,6.8,6.6,25363,11,3031,16361,4641
Night of the Living Dead,1990,males,6.9,2852,2203,5406,8973,5414,2341,908,458,262,412,6.9,6.8,6.8,6.9,6.8,29229,6,2675,18542,6893
Creepshow,1982,males,6.8,2872,2104,5503,8850,6147,2595,1004,500,262,317,6.8,7.3,7.0,6.8,6.8,30154,15,2956,16570,9403
Hocus Pocus,1993,males,6.5,6372,2866,6798,11269,10202,5358,2537,1319,696,863,6.5,6.3,6.6,6.5,6.1,48280,31,7280,30173,7655
Frankenweenie,2012,males,6.9,3303,3554,11898,21103,11795,4335,1600,740,434,701,6.9,7.0,7.0,6.8,6.9,59463,53,11616,35472,9150
Shadow of the Vampire,2000,males,6.9,1498,2055,5956,8874,4951,2128,895,425,269,361,6.9,8.0,6.9,6.9,6.8,27412,1,1782,16497,8456
28 Weeks Later,2007,males,7.0,13484,15374,41287,62898,31308,12224,5187,2621,1535,2259,7.0,6.7,7.0,7.0,6.9,188177,32,27084,124562,28702
Ready or Not,2019,males,6.8,2957,3901,13760,25338,15150,5261,2001,975,537,865,6.8,7.1,6.9,6.7,6.7,70745,85,16072,37333,10689
Under the Shadow,2016,males,6.9,654,1206,3781,5360,3204,1357,564,282,163,294,6.9,6.4,7.0,6.8,6.8,16865,6,3293,9756,2725
The Witch,2015,males,7.0,9400,14479,29488,31802,19335,9893,5126,3200,2119,3815,7.0,7.6,7.3,6.9,6.7,128657,106,32517,67456,17262
Creature from the Black Lagoon,1954,males,7.0,1708,1421,3928,6374,3733,1488,511,215,94,121,7.0,6.7,7.1,6.9,7.0,19593,11,2499,9028,7302
Hellraiser,1987,males,7.0,7464,6669,15973,22338,11944,5280,2399,1246,804,928,7.0,7.1,6.9,7.0,7.1,75045,46,9972,44722,16825
Gremlins,1984,males,7.3,10659,12078,34965,44903,18715,6282,2212,996,495,565,7.3,7.4,7.1,7.3,7.3,131870,80,16120,79654,29121
The Monster Squad,1987,males,7.0,3184,1849,4191,5719,3614,1688,678,298,168,207,7.0,6.9,6.8,7.1,6.7,21596,6,1693,14329,4622
The Lost Boys,1987,males,7.2,8728,8112,18638,23356,11578,4509,1769,827,449,648,7.2,7.9,7.1,7.1,7.2,78614,23,6949,45044,22864
Near Dark,1987,males,6.9,2000,2237,5689,7786,4401,1995,814,416,230,313,6.9,6.4,7.0,6.9,7.1,25881,5,1908,14827,8291
Ravenous,1999,males,7.0,2626,2659,5829,7544,4112,1780,844,435,281,370,7.0,8.0,6.9,7.0,6.8,26480,1,1507,17020,7185
Henry: Portrait of a Serial Killer,1986,males,7.0,1887,2264,5394,6835,4018,1675,736,399,270,332,7.0,8.1,7.1,7.0,7.1,23810,11,2713,13719,6590
Stir of Echoes,1999,males,6.9,2547,3304,10908,19108,9142,3144,1125,490,288,377,6.9,6.4,6.9,6.9,7.0,50433,6,2951,32309,13578
Bubba Ho-Tep,2002,males,7.0,4458,3840,7790,8292,4898,2264,1065,625,342,469,7.0,8.0,6.8,7.0,7.0,34043,3,1818,22147,9186
Ichi the Killer,2001,males,7.0,4256,4304,9034,9832,5333,2612,1279,800,565,931,7.0,7.9,7.1,7.0,6.9,38946,9,4160,27212,6393
Constantine,2005,males,6.9,18075,18481,45311,64385,35248,14981,6192,3095,1629,2032,6.9,6.7,7.1,6.9,6.8,209429,45,31403,136834,30294
Hellboy II: The Golden Army,2008,males,7.0,13083,15313,43310,62642,32723,12191,4761,2316,1311,1957,7.0,7.2,7.0,7.0,7.0,189607,45,32006,120082,28544
Brotherhood of the Wolf,2001,males,7.0,4231,4954,10549,12162,6462,2815,1401,809,479,638,7.0,7.5,6.8,7.0,7.1,44500,4,2179,29107,11786
Trollhunter,2010,males,7.0,3676,4764,12859,16778,8622,3503,1571,882,538,772,7.0,7.2,7.0,7.0,6.9,53965,11,7536,34379,10056
The Cabin in the Woods,2011,males,7.0,21127,27789,57578,64263,34998,17490,9179,5833,4039,7670,7.0,7.2,7.1,7.0,7.0,249966,98,54937,146944,32526
A Girl Walks Home Alone at Night,2014,males,6.9,1181,1973,5143,5972,3348,1588,762,459,275,482,6.9,5.1,7.2,6.9,6.8,21183,8,4150,11958,4058
Green Room,2015,males,7.0,3250,6318,18384,24151,12653,5310,2079,1049,621,1027,7.0,7.3,7.2,7.0,6.8,74842,26,17417,41701,10373
Climax,2018,males,6.9,2732,4395,8077,7893,4505,2429,1357,961,703,1249,6.9,8.0,7.5,6.8,6.1,34301,43,10661,16611,4071
Raw,2016,males,7.0,2018,3851,9966,12048,6443,2882,1416,829,527,892,7.0,7.8,7.3,6.9,6.5,40872,31,11317,21019,5285
Thelma,2017,males,7.0,692,1353,4089,5675,3035,1219,433,245,159,336,7.0,6.0,7.1,6.9,6.8,17236,7,3336,9168,3629
The Killing of a Sacred Deer,2017,males,7.0,3830,8381,19708,21134,10482,5069,2465,1716,1311,2716,7.0,7.5,7.4,6.9,6.6,76812,47,19947,39356,11089
The Mummy,1932,males,7.0,1574,1552,3670,5547,2891,1186,483,189,69,123,7.0,7.5,6.9,6.9,7.2,17284,12,2166,8240,6197
The Platform,2019,males,7.0,4736,8506,24242,34676,17136,6804,2722,1458,819,1563,7.0,7.0,7.1,6.9,6.7,102662,194,28557,52740,10253
Day of the Dead,1985,males,7.1,5789,4894,10600,13662,7084,3010,1228,671,362,534,7.1,7.2,7.3,7.2,7.0,47834,11,4803,30421,10895
The Thing from Another World,1951,males,7.1,2141,1999,4569,5788,3161,1499,469,211,130,156,7.1,7.3,6.9,6.9,7.4,20123,5,1610,8781,9091
Tremors,1990,males,7.1,8212,7884,21656,28934,13484,4724,1810,907,465,517,7.1,7.2,7.1,7.2,7.1,88593,29,9645,55150,19735
Little Shop of Horrors,1986,males,7.0,4024,3792,8653,11910,7354,3243,1320,676,353,494,7.0,7.8,7.3,7.0,6.8,41819,20,4080,22956,12911
Blade,1998,males,7.1,13375,14569,42702,61730,27262,9807,3731,1887,1033,1450,7.1,7.2,7.0,7.1,7.1,177546,44,24997,114919,29066
Fright Night,1985,males,7.1,4186,3469,9608,14143,7160,2638,1022,488,243,373,7.1,7.5,7.1,7.0,7.2,43330,15,4369,23688,13326
The Frighteners,1996,males,7.1,4534,5283,14500,19268,9094,3220,1267,625,340,447,7.1,7.3,7.0,7.1,7.1,58578,7,4006,37817,14754
Pitch Black,2000,males,7.1,12703,15270,40545,54424,25656,9695,3781,1904,993,1275,7.1,6.7,7.0,7.1,7.1,166246,13,18133,108488,32457
The Ring,2002,males,7.1,15028,18923,48124,63810,31309,12194,4855,2466,1479,2074,7.1,7.0,7.0,7.1,7.1,200262,79,34493,126483,30001
Shutter,2004,males,7.0,2729,2800,6431,8056,4373,1823,729,348,230,285,7.0,6.3,7.1,7.1,6.8,27804,8,4727,18431,3707
Hotel Transylvania,2012,males,7.0,10571,10074,27479,42157,21723,8043,2899,1301,670,966,7.0,7.0,7.1,6.9,6.8,125883,180,32720,68276,14960
The Host,2006,males,7.0,5361,7654,19413,23681,11987,5043,2361,1346,812,1250,7.0,7.1,7.3,7.0,6.9,78908,31,13065,48497,13753
The Mist,2007,males,7.2,19373,24158,51854,51888,25992,11628,5765,3521,2489,4264,7.2,7.4,7.2,7.2,7.1,200932,54,32742,129758,29899
Thirst,2009,males,7.1,1952,3546,8394,9199,4468,1893,837,405,256,445,7.1,8.5,7.4,7.2,6.9,31395,11,4297,20871,5033
Bhoot Police,2021,males,5.7,263,114,268,533,553,347,176,126,97,360,5.7,8.1,5.9,5.7,4.8,2837,17,960,1284,101
Martyrs,2008,males,7.0,6576,7544,13141,13473,7025,3748,2094,1334,1040,2061,7.0,7.2,7.1,7.0,7.0,58036,20,9954,36696,8729
The Call,2020,males,7.0,661,1030,3050,4339,2072,698,268,151,56,160,7.0,6.6,7.2,7.0,6.8,12485,35,3397,6367,1430
The Invisible Man,2020,males,7.0,4586,8348,26924,36534,17219,6577,2599,1495,874,1515,7.0,7.3,7.2,7.0,6.9,106671,122,24000,54738,17387
Let Me In,2010,males,7.2,7077,8390,20288,23391,10637,4268,1695,946,608,1430,7.2,7.3,7.2,7.1,7.2,78730,14,12730,48234,14516
Bone Tomahawk,2015,males,7.1,3295,5701,17439,22517,9932,3601,1449,741,472,685,7.1,7.5,7.3,7.1,7.0,65832,23,10707,37065,13642
Midsommar,2019,males,7.1,8341,15054,32642,33426,17038,8536,4438,2856,2193,4653,7.1,7.5,7.3,7.0,6.7,129177,169,35069,64005,17050
Don't Breathe,2016,males,7.1,7736,11995,37474,49812,22870,7585,2592,1249,731,1157,7.1,7.1,7.2,7.1,7.0,143201,139,39882,72879,16618
Black Christmas,1974,males,7.2,3212,2506,5410,6607,3497,1604,677,377,220,322,7.2,7.3,7.3,7.2,7.0,24432,19,3490,14080,5897
Don't Look Now,1973,males,7.2,3887,4768,8548,8694,4736,2235,1159,679,388,510,7.2,7.5,7.4,7.2,7.3,35604,16,4669,19359,10288
The Changeling,1980,males,7.2,2072,2245,5480,6550,3119,1190,482,204,124,189,7.2,7.5,7.1,7.2,7.3,21655,2,1888,12261,6780
The Dead Zone,1983,males,7.2,2936,3935,12062,15650,7057,2284,732,320,136,224,7.2,7.2,7.1,7.1,7.3,45336,14,4239,24611,14737
The Fearless Vampire Killers,1967,males,7.1,2632,2377,4801,5349,2777,1353,701,365,220,296,7.1,8.5,6.9,7.1,7.3,20871,2,1416,11092,7696
Videodrome,1983,males,7.2,6333,7329,15529,16565,8697,3620,1716,860,492,637,7.2,8.4,7.4,7.3,7.1,61778,20,8969,37017,13454
Re-Animator,1985,males,7.2,4346,4424,10679,12244,6119,2334,1009,522,269,441,7.2,7.3,7.3,7.2,7.2,42387,14,5167,25065,10394
Cube,1997,males,7.2,10620,15740,41754,43337,20755,7977,3429,1808,1064,1533,7.2,7.4,7.0,7.3,7.2,148017,47,22736,96627,22423
From Dusk Till Dawn,1996,males,7.2,16620,21385,53185,59482,27196,10682,4529,2320,1436,2042,7.2,7.2,7.1,7.3,7.2,198877,39,26238,124914,37786
Ringu,1998,males,7.2,3598,4952,11750,13200,5909,2238,923,431,318,415,7.2,7.6,7.1,7.3,7.3,43734,12,5654,27688,8924
Audition,1999,males,7.2,4352,6313,13666,13819,6970,3038,1415,800,507,762,7.2,7.4,7.3,7.2,7.2,51642,14,7237,32912,9687
A Tale of Two Sisters,2003,males,7.1,3613,4329,9183,9802,5078,2235,1066,566,317,563,7.1,6.3,7.2,7.1,7.0,36752,7,5443,24276,5701
In the Mouth of Madness,1994,males,7.2,4663,5054,10927,13084,6714,2885,1223,569,356,452,7.2,7.1,7.3,7.2,6.9,45927,8,4955,28979,10188
The Conjuring 2,2016,males,7.3,13369,15366,37302,39632,17958,6386,2370,1139,651,1077,7.3,7.5,7.4,7.2,7.1,135250,178,40465,66539,13487
The Descent,2005,males,7.2,12662,16450,36007,37666,18966,8306,3803,2137,1242,2158,7.2,7.3,7.1,7.2,7.2,139397,50,20858,89571,23105
It,2017,males,7.3,23366,33141,70986,68728,32515,13548,5939,3512,2217,4145,7.3,7.3,7.4,7.3,7.1,258097,396,72840,125342,29441
Doctor Sleep,2019,males,7.3,7017,11240,29034,26835,11669,4356,1958,1095,641,970,7.3,7.5,7.4,7.3,7.2,94815,101,19803,49344,16103
Split,2016,males,7.3,15053,26531,73154,77576,31232,10205,3754,1876,1102,1887,7.3,7.6,7.4,7.3,7.1,242370,181,64952,123643,27767
The Rocky Horror Picture Show,1975,males,7.2,12245,8739,15133,15638,8432,4341,2445,1611,1188,2040,7.2,7.6,7.4,7.1,7.2,71812,27,10547,37929,20152
A Quiet Place Part II,2020,males,7.2,5407,8539,25412,29268,12826,4363,1634,787,451,757,7.2,7.8,7.4,7.1,7.1,89444,196,22265,45020,12452
Carrie,1976,males,7.4,9453,11589,29173,32164,13587,4614,1809,868,486,713,7.4,7.6,7.5,7.3,7.4,104456,70,15417,58379,25727
Eraserhead,1977,males,7.4,12344,10334,16288,14026,6895,3714,2041,1488,1231,2255,7.4,8.2,7.7,7.3,7.0,70616,56,14305,40054,13028
Hereditary,2018,males,7.3,13709,21998,37047,32608,16755,8327,4354,2764,1979,3901,7.3,7.6,7.7,7.3,6.8,143442,155,38846,71651,18535
House,1977,males,7.3,1947,2146,4072,3791,1960,1012,476,332,229,264,7.3,7.9,7.6,7.3,6.8,16229,17,4028,8884,2539
Suspiria,1977,males,7.4,7633,7423,13945,12731,6575,3151,1433,934,625,799,7.4,7.9,7.6,7.4,7.1,55249,41,10087,31046,11494
Possession,1981,males,7.4,2909,2942,4437,3748,2029,1129,648,457,329,432,7.4,8.6,7.9,7.4,6.8,19060,8,3716,10611,3873
Invasion of the Body Snatchers,1978,males,7.4,3211,4644,11818,12147,4675,1679,570,294,149,248,7.4,7.7,7.5,7.4,7.4,39435,9,3802,20130,14036
Pi,1998,males,7.4,13028,18833,35001,29151,12792,5675,2732,1641,1215,1894,7.4,7.5,7.4,7.4,7.1,121962,25,16463,81848,19643
Thesis,1996,males,7.4,2100,3156,7646,7016,2747,988,438,181,158,265,7.4,7.4,7.5,7.4,7.3,24695,5,2503,15786,5523
REC,2007,males,7.4,12321,17139,36655,29673,12167,4992,2203,1412,864,1378,7.4,7.5,7.4,7.5,7.3,118804,45,21959,77171,14736
The Orphanage,2007,males,7.4,7862,12881,29686,26386,10822,3909,1554,714,448,772,7.4,7.2,7.4,7.4,7.4,95034,23,13680,63788,14342
Dracula,1992,males,7.4,13547,16530,34972,31773,14992,6135,2822,1448,888,1146,7.4,7.5,7.1,7.4,7.4,124253,30,13289,75340,29752
Dracula,1931,males,7.4,4608,3882,8808,8619,3896,1584,622,294,121,214,7.4,7.4,7.4,7.4,7.6,32648,33,4912,16812,9622
The Wicker Man,1973,males,7.6,6693,7455,14725,11695,5245,2263,958,574,399,580,7.6,7.6,7.6,7.5,7.6,50587,17,7347,27803,13507
The Haunting,1963,males,7.4,3446,3311,6411,5633,3016,1380,588,313,190,278,7.4,7.5,7.4,7.4,7.6,24566,7,2393,12405,9034
The Texas Chain Saw Massacre,1974,males,7.5,15200,12620,24094,22127,10484,4803,2316,1445,974,1417,7.5,7.8,7.5,7.5,7.3,95480,93,17270,55425,18033
An American Werewolf in London,1981,males,7.5,7782,9223,20318,17414,7315,2476,995,482,226,336,7.5,7.6,7.5,7.5,7.7,66567,30,8315,34109,21078
The Devil's Backbone,2001,males,7.4,3224,5330,13742,12486,4955,1828,693,320,213,363,7.4,7.5,7.5,7.4,7.4,43154,9,5084,27452,9292
Nosferatu the Vampyre,1979,males,7.5,2812,3343,6827,5751,2574,1156,493,296,189,254,7.5,8.3,7.6,7.5,7.4,23695,10,3120,13142,6626
The Omen,1976,males,7.5,7237,9517,23979,20374,7662,2664,966,455,248,422,7.5,8.1,7.4,7.5,7.6,73524,36,9196,41323,20005
The Evil Dead,1981,males,7.5,20133,17030,36688,31860,14070,5867,2802,1565,1066,1478,7.5,7.8,7.4,7.5,7.5,132559,82,21778,80208,23925
A Nightmare on Elm Street,1984,males,7.5,17163,16041,39463,38076,15450,5582,2184,1088,616,880,7.5,7.9,7.5,7.5,7.4,136543,114,23688,79713,25770
American Psycho,2000,males,7.6,37091,51498,103074,79869,31007,11350,4821,2476,1605,2300,7.6,8.1,7.7,7.6,7.1,325091,225,76272,193640,36425
Jacob's Ladder,1990,males,7.5,7800,10500,21313,18177,7687,2803,1197,574,354,566,7.5,7.6,7.5,7.5,7.4,70971,16,9409,42094,16940
Army of Darkness,1992,males,7.5,19659,16405,32038,26517,12297,5115,2374,1380,842,1152,7.5,7.6,7.4,7.5,7.4,117779,41,14008,74692,23979
Grindhouse,2007,males,7.5,25456,19279,34950,27755,11856,5357,2534,1700,1332,4482,7.5,7.6,7.5,7.6,7.2,134701,17,11757,98278,20733
The Conjuring,2013,males,7.5,30640,39530,84207,70223,27945,9921,3959,2004,1181,1941,7.5,7.8,7.6,7.5,7.3,271551,248,75693,141753,28650
Dead Alive,1992,males,7.5,11470,10000,18105,14030,6408,3037,1581,983,728,1349,7.5,7.4,7.5,7.5,7.4,67691,9,7632,45691,12275
Interview with the Vampire: The Vampire Chronicles,1994,males,7.5,16741,23843,55418,46310,18863,6904,2889,1434,822,1333,7.5,7.8,7.4,7.6,7.2,174557,28,18759,114759,33289
Deep Red,1975,males,7.6,3557,3616,6716,5285,2623,1241,538,280,203,298,7.6,7.5,7.7,7.6,7.4,24357,13,3298,14007,6123
Peeping Tom,1960,males,7.7,2994,3702,6846,5375,2283,972,397,193,136,206,7.7,7.8,7.9,7.7,7.5,23104,13,3268,12701,6405
The Birds,1963,males,7.7,12312,16799,35535,26564,10779,3810,1605,801,446,684,7.7,7.9,7.5,7.6,7.9,109335,70,16600,60156,28036
Eyes Without a Face,1960,males,7.7,2042,2889,6650,4961,1945,650,238,130,71,149,7.7,8.4,7.8,7.6,7.6,19725,18,3625,10763,4536
Repulsion,1965,males,7.7,4453,5917,9860,7084,3233,1386,678,380,250,438,7.7,7.3,7.8,7.7,7.6,33679,12,5007,19156,8374
Halloween,1978,males,7.8,32949,23983,42563,32055,14104,5747,2492,1321,822,1286,7.8,7.9,7.7,7.7,7.8,157322,161,28827,88382,31366
Evil Dead II,1987,males,7.7,20814,17358,30515,20838,8888,3898,1815,1053,728,1187,7.7,8.4,7.8,7.8,7.7,107094,58,15842,66006,20331
What We Do in the Shadows,2014,males,7.6,9541,15408,33643,24798,8929,3140,1358,717,474,789,7.6,8.4,7.8,7.6,7.4,98797,51,23670,54987,13170
Get Out,2017,males,7.7,27113,49549,98590,67178,22950,8041,3363,2022,1341,3804,7.7,8.1,7.9,7.6,7.4,283951,262,78496,141386,34067
Vampire Hunter D: Bloodlust,2000,males,7.7,3372,3479,6537,4605,1883,713,278,167,113,242,7.7,5.5,7.7,7.7,7.3,21389,2,2099,15803,2731
The Bride of Frankenstein,1935,males,7.8,6170,4880,8427,5871,2828,1180,537,313,179,638,7.8,8.0,7.8,7.7,8.0,31023,25,3832,15416,10757
Frankenstein,1931,males,7.8,7878,7294,14487,9447,3726,1488,590,330,224,772,7.8,7.5,7.7,7.7,8.0,46236,43,6734,23655,14203
The Innocents,1961,males,7.8,2821,3349,5790,3870,1684,666,285,125,102,218,7.8,6.8,8.0,7.8,7.7,18910,4,2280,9971,6115
Predator,1987,males,7.9,45753,47379,93183,58844,21020,7160,2586,1157,601,820,7.9,7.7,7.6,7.9,7.8,278503,104,36283,175773,51313
I Saw the Devil,2010,males,7.8,10779,16726,28121,16563,5940,2286,1058,594,343,835,7.8,7.9,8.0,7.8,7.6,83245,43,16904,51711,9892
Nosferatu,1922,males,7.9,11963,10657,17202,10384,4517,1965,929,584,416,1309,7.9,8.1,7.8,7.9,8.1,59926,35,9655,34248,13963
King Kong,1933,males,7.9,11217,9184,16600,10552,4534,1877,834,473,331,1053,7.9,7.8,7.8,7.8,8.1,56655,28,6425,30037,18578
Freaks,1932,males,7.9,4669,4877,9044,5775,2312,961,383,221,141,284,7.9,7.6,7.8,7.9,7.9,28667,11,3686,15760,8272
Night of the Living Dead,1968,males,7.9,15735,13990,25111,15838,6459,2535,1067,574,349,726,7.9,7.9,7.8,7.9,7.9,82384,53,11150,48710,19232
Dawn of the Dead,1978,males,7.9,18703,14321,23178,14124,5858,2572,1154,705,494,1081,7.9,8.8,7.8,7.9,7.9,82190,21,9643,51376,18326
Let the Right One In,2008,males,7.9,23656,32057,43824,24574,9875,4171,2105,1189,882,2079,7.9,7.7,7.8,7.9,7.9,144412,23,18662,96070,25466
Rosemary's Baby,1968,males,8.0,19914,25776,39369,22459,8444,3330,1599,912,633,1549,8.0,8.4,8.2,8.0,7.9,123985,79,19995,70807,27946
Shaun of the Dead,2004,males,7.9,60260,67177,110784,64582,24810,9001,4085,2258,1586,4174,7.9,8.1,7.9,7.9,7.8,348717,164,72699,212073,45625
The Cabinet of Dr. Caligari,1920,males,8.0,7643,7609,11114,6352,2618,1129,523,343,250,926,8.0,8.3,8.1,8.0,8.0,38507,30,7493,21355,8054
The Blue Elephant,2014,males,8.1,9672,2940,2334,1329,626,308,147,103,80,1147,8.1,9.0,8.4,7.7,6.1,18686,34,9487,7168,434
Diabolique,1955,males,8.1,6499,9673,13255,6690,2407,1102,462,306,258,1116,8.1,7.6,8.1,8.1,8.1,41768,19,5742,23354,11263
The Exorcist,1973,males,8.1,45933,49001,72959,41830,16331,6413,2878,1650,1172,2502,8.1,7.9,8.0,8.0,8.2,240669,137,38391,141724,49357
What Ever Happened to Baby Jane?,1962,males,8.0,5129,6231,10011,5356,1969,772,337,202,163,357,8.0,8.3,8.0,7.9,8.0,30527,17,3908,14962,10530
The Thing,1982,males,8.2,55554,58811,79176,43707,15366,5654,2333,1282,794,1839,8.2,8.7,8.2,8.1,8.2,264516,144,43599,150274,56282
Demon Slayer: Mugen Train,2020,males,8.1,3792,3451,3880,2105,803,339,142,93,84,327,8.1,8.3,8.3,7.9,6.6,15016,143,6327,5536,872
Tumbbad,2018,males,8.2,6287,5134,3953,2007,792,350,182,101,95,368,8.2,9.0,8.5,8.0,6.7,19269,42,6903,8130,855
Alien,1979,males,8.5,121011,152833,147470,67403,20061,7257,2893,1628,1078,2655,8.5,8.6,8.3,8.5,8.7,524289,266,87151,293171,109793
The Shining,1980,males,8.4,124435,156546,148736,71178,24882,9772,4522,2632,1761,3847,8.4,8.8,8.4,8.4,8.4,548311,398,118020,303710,89095
