Name,Year,Rate,Genre,Country
The Silence,2019,5.3,"Drama,Horror,Sci-Fi,Thriller",Canada
Eight Legged Freaks,2002,5.4,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States
The Curse of La Llorona,2019,5.3,"Horror,Mystery,Thriller",United States
The Messengers,2007,5.4,"Drama,Horror,Mystery",United States
House of Wax,2005,5.4,"Horror,Thriller",Australia
The Lawnmower Man,1992,5.4,"Horror,Sci-Fi",United Kingdom
The Ring Two,2005,5.4,"Horror,Mystery",United States
Turistas,2006,5.4,"Horror,Mystery,Thriller",United States
The Eye,2008,5.4,"Horror,Mystery",United States
Ghost Ship,2002,5.5,Horror,United States
Hostel: Part II,2007,5.5,Horror,United States
All the Boys Love Mandy Lane,2006,5.5,"Horror,Mystery,Thriller",United States
Piranha 3D,2010,5.4,"Comedy,Fantasy,Horror,Romance",United States
White Noise,2005,5.5,"Drama,Horror,Mystery,Thriller",United Kingdom
Winchester,2018,5.5,"Drama,Fantasy,Horror,Mystery,Thriller",Australia
Friday the 13th,2009,5.5,"Horror,Mystery,Thriller",United States
The Omen,2006,5.5,"Drama,Fantasy,Horror,Mystery,Thriller",United States
Vampire Academy,2014,5.5,"Action,Comedy,Drama,Fantasy,Horror,Mystery,Thriller",United States
The Cloverfield Paradox,2018,5.5,"Action,Horror,Sci-Fi,Thriller",United States
Resident Evil: The Final Chapter,2016,5.5,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany
The Last Days on Mars,2013,5.5,"Adventure,Horror,Sci-Fi,Thriller",United Kingdom
The Innkeepers,2011,5.5,"Drama,Horror,Mystery",United States
Peninsula,2020,5.5,"Action,Horror,Thriller",South Korea
The Dead Don't Die,2019,5.5,"Comedy,Fantasy,Horror,Sci-Fi",United States
Unfriended,2014,5.5,"Horror,Mystery,Thriller",United States
Scream 3,2000,5.6,"Horror,Mystery",United States
Village of the Damned,1995,5.6,"Horror,Sci-Fi,Thriller",United States
Thir13en Ghosts,2001,5.6,"Fantasy,Horror",United States
The Texas Chainsaw Massacre 2,1986,5.6,"Comedy,Horror",United States
Children of the Corn,1984,5.6,"Horror,Thriller",United States
Cube²: Hypercube,2002,5.6,"Drama,Horror,Mystery,Sci-Fi",Canada
Urban Legend,1998,5.6,"Horror,Mystery,Thriller",Canada
Alien vs. Predator,2004,5.6,"Action,Adventure,Horror,Sci-Fi,Thriller",United States
House on Haunted Hill,1999,5.6,"Crime,Fantasy,Horror,Mystery,Thriller",United States
Creep,2004,5.6,"Horror,Mystery,Thriller",United Kingdom
Jeepers Creepers 2,2003,5.6,Horror,United States
Red Riding Hood,2011,5.5,"Fantasy,Horror,Mystery,Romance,Thriller",United States
Cabin Fever,2002,5.6,Horror,United States
Halloween Kills,2021,5.6,"Horror,Thriller",United States
Dark Water,2005,5.6,"Drama,Horror,Mystery",United States
Diary of the Dead,2007,5.6,"Fantasy,Horror,Sci-Fi,Thriller",United States
Don't Be Afraid of the Dark,2010,5.6,"Fantasy,Horror,Thriller",United States
The Ward,2010,5.6,"Horror,Mystery,Thriller",United States
Maggie,2015,5.6,"Drama,Horror,Sci-Fi",United States
Saw: The Final Chapter,2010,5.6,"Crime,Horror,Mystery",Canada
The Reaping,2007,5.6,"Horror,Thriller",United States
Army of the Dead,2021,5.7,"Action,Crime,Horror,Sci-Fi,Thriller",United States
House at the End of the Street,2012,5.6,"Drama,Horror,Thriller",United States
Would You Rather,2012,5.7,"Horror,Thriller",United States
The Rental,2020,5.7,"Drama,Horror,Mystery,Thriller",United States
The Last Exorcism,2010,5.7,"Horror,Mystery,Thriller",France
Paranormal Activity 2,2010,5.7,"Horror,Mystery",United States
I Spit on Your Grave 2,2013,5.7,"Horror,Thriller",United States
The Bay,2012,5.7,"Horror,Sci-Fi,Thriller",United States
Splice,2009,5.7,"Drama,Horror,Sci-Fi",Canada
Insidious: The Last Key,2018,5.7,"Horror,Mystery,Thriller",United States
Velvet Buzzsaw,2019,5.7,"Horror,Mystery,Thriller",United States
47 Meters Down,2017,5.7,"Adventure,Drama,Horror,Thriller",United Kingdom
Regression,2015,5.7,"Action,Adventure,Crime,Drama,Horror,Mystery,Thriller",Spain
Honeymoon,2014,5.7,"Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller",United States
Species,1995,5.8,"Action,Horror,Sci-Fi,Thriller",United States
Cannibal Holocaust,1980,5.8,"Adventure,Horror",Italy
Child's Play,2019,5.7,"Drama,Horror,Sci-Fi",Canada
Jaws 2,1978,5.8,"Adventure,Horror,Thriller",United States
Cooties,2014,5.7,"Action,Comedy,Horror,Sci-Fi,Thriller",United States
The Relic,1997,5.8,"Horror,Mystery,Sci-Fi,Thriller",United States
Hollow Man,2000,5.8,"Action,Horror,Sci-Fi,Thriller",United States
Halloween 4: The Return of Michael Myers,1988,5.8,"Horror,Thriller",United States
Gothika,2003,5.8,"Horror,Mystery,Thriller",United States
Blade: Trinity,2004,5.8,"Action,Horror,Sci-Fi",United States
End of Days,1999,5.8,"Action,Fantasy,Horror,Thriller",United States
Final Destination 3,2006,5.8,"Horror,Mystery,Thriller",United States
Cry Wolf,2005,5.8,"Drama,Horror,Mystery,Thriller",United States
The Texas Chainsaw Massacre: The Beginning,2006,5.8,"Horror,Thriller",United States
Halloween H20: 20 Years Later,1998,5.8,"Horror,Thriller",United States
